Obj;2398,842285;;;;;;;;;;;;
Time;59624;;;;;;;;;;;;
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging
1;0;46;39,528469;0;0;0;0;0,790569;8,094306;800;7,905694;1;0,790569
1;46;10;4,699884;5,18;18,959999;0,21;26;8,790261;15,060023;774;0;0;0
1;10;14;4,1616;9,59;25,540001;0,31;39;9,59;14,227703;735;0;0;0
1;14;7;4,323482;14,76;29,27;0,23;23;14,76;13,363007;712;0;0;0
1;7;6;3,135362;13,94;32,849998;0,24;20;15,052707;12,735934;692;0;0;0
1;6;9;4,028526;8,36;24,5;0,39;43;15,373277;11,930229;649;0;0;0
1;9;12;8,384661;2,73;15,99;0,24;27;15,930971;10,253297;622;0;0;0
1;12;8;0,367695;8,38;25,4;0,24;24;16,178326;10,179758;598;0;0;0
1;8;4;0,402616;10,89;28,370001;0,39;35;16,426378;10,099235;563;0;0;0
1;4;15;0,971287;6,44;20,700001;0,41;46;16,835804;9,904977;517;0;0;0
1;15;5;11,874587;5,07;19,950001;0,29;36;17,483295;7,530059;481;0;0;0
1;5;13;1,974642;9,27;26,82;0,44;40;17,81279;7,135131;441;0;0;0
1;13;1;4,395508;9,15;25,299999;0,34;38;18,3407;6,256029;403;0;0;0
1;1;3;7,703019;11,83;30,51;0,35;29;18,834761;4,715425;374;0;0;0
1;3;11;2,422106;10,97;27,709999;0,32;35;19,233204;4,231004;339;0;0;0
1;11;2;3,21753;15,48;35,369999;0,31;28;19,617554;3,587498;311;0;0;0
1;2;46;3,862448;0;0;0;0;20,004803;2,815009;311;6,061901;1;20,004803
1;46;0;39,528469;0;0;0;0;26,857273;0,971215;311;0;1;0
2;0;47;53,033009;0;0;0;0;1,06066;5,393398;800;10,606602;1;1,06066
2;47;41;5,076585;11,56;28,700001;0,32;35;11,768794;14,984683;765;0;0;0
2;41;43;0,813203;12,38;27,08;0,18;22;12,38;14,822042;743;0;0;0
2;43;39;6,796362;4,68;18,879999;0,37;31;12,695928;13,46277;712;0;0;0
2;39;35;3,184414;9,27;26,450001;0,35;32;13,129616;12,825888;680;0;0;0
2;35;40;5,086551;10,59;28,549999;0,27;30;13,581347;11,808578;650;0;0;0
2;40;31;4,743521;13,65;33,200001;0,29;29;13,946218;10,859874;621;0;0;0
2;31;34;2,334201;2,06;14,41;0,34;34;14,282903;10,393034;587;0;0;0
2;34;33;2,099737;12,73;30,459999;0,33;30;14,664898;9,973086;557;0;0;0
2;33;42;6,57392;9,61;26,98;0,51;46;15,126376;8,658302;511;0;0;0
2;42;44;1,825707;6,36;19,01;0,32;36;15,672891;8,293161;475;0;0;0
2;44;45;10,695704;5,64;18,34;0,33;30;16,206804;6,15402;445;0;0;0
2;45;36;3,450461;12,34;26,200001;0,59;49;16,605814;5,463928;396;0;0;0
2;36;32;4,661901;14,15;22,25;0,3;33;17,289053;4,531548;363;0;0;0
2;32;37;3,73343;11,34;28,68;0,54;49;17,663721;3,784862;314;0;0;0
2;37;38;2,380087;10,26;27,309999;0,27;34;18,251324;3,308845;280;0;0;0
2;38;47;3,216239;0;0;0;0;18,585649;2,665597;280;8,559004;1;18,585649
2;47;0;53,033009;0;0;0;0;28,205315;0,618;280;0;1;0
3;0;48;39,528469;0;0;0;0;0,790569;8,094306;800;7,905694;1;0,790569
3;48;29;6,961177;1,33;13,3;0,34;43;8,835486;14,607764;757;0;0;0
3;29;27;5,405571;13,57;32,529999;0,3;25;13,57;13,52665;732;0;0;0
3;27;22;6,25492;2,14;14,27;0,49;41;13,995098;12,275666;691;0;0;0
3;22;28;5,139904;2,68;15,49;0,34;28;14,587896;11,247685;663;0;0;0
3;28;30;3,0316;14,02;32,259998;0,35;32;14,988528;10,641365;631;0;0;0
3;30;25;7,86926;2,52;16,42;0,48;44;15,495914;9,067513;587;0;0;0
3;25;17;3,350731;15,58;34,650002;0,39;49;16,042927;8,397367;538;0;0;0
3;17;19;8,237796;12,59;31,1;0,24;22;16,597683;6,749807;516;0;0;0
3;19;24;8,619247;8,1;24,27;0,3;30;17,010067;5,025958;486;0;0;0
3;24;26;3,148922;6,76;22,959999;0,23;21;17,373045;4,396173;465;0;0;0
3;26;16;3,524555;7,91;24,780001;0,52;47;17,673536;3,691262;418;0;0;0
3;16;23;10,557901;11,63;29,73;0,27;34;18,404696;1,579682;384;0;0;0
3;23;18;5,049722;5,17;20,690001;0,49;45;18,77569;0,569738;339;0;0;0
3;18;48;1,094899;0;0;0;0;19,287588;0,350758;339;11,191029;1;19,287588
3;48;20;2,950001;13,55;32,68;0,32;29;30,537617;10,951786;310;0;0;0
3;20;21;5,598903;14,91;35,310001;0,23;23;30,969595;9,832006;287;0;0;0
3;21;0;35,724903;0;0;0;0;31,914093;2,687025;287;0;1;0
